id;plan;planTitle;version;versionTitle;title;parent;testUnits;controls;terms;okso;speciality;profileCode;profile;level;groupID;groupTitle;allload;allaudit;self;lecture;practice;labs;contactTotal;contactSelf;contactControl;contactLecture;contactPractice;contactLabs;tl1;tl2;tl3;tl4;tl5;tl6;tl7;tl8;tl9;tl10;tl11;tl12;gosLoadInTestUnits;ttu1;ttu2;ttu3;ttu4;ttu5;ttu6;ttu7;ttu8;ttu9;ttu10;ttu11;ttu12;modulePriority;index;controls_list;planType
unpled195e3pg0000of7ejpbq69vtnno;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Системная аналитика;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;3;0;0;0;0;0;0;0;150;М.1.25;;модульный
unpled195e3pg0000of7ejpchifdn1f8;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Базовая архитектура программного обеспечения;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;3;0;0;0;0;0;0;0;155;М.1.26;;модульный
unpled195e3pg0000of7ejpd1otvgjr8;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Виртуализация и облачные технологии;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;0;3;0;0;0;0;0;0;160;М.1.27;;модульный
unpled195e3pg0000of7ejpdpb8kt3do;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Моделирование сложных процессов и систем;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;0;3;0;0;0;0;0;0;165;М.1.28;;модульный
unpled195e3pg0000of7ejpe8j0j99r4;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Информационная безопасность;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;51;93;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;0;0;0;0;4;0;0;0;0;0;170;М.1.29;;модульный
unpled195e3pg0000of7ejpf077s5n0k;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Теория и практика программной инженерии;unpled195e3pg0000of7ejos0ap7l4lc;6;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;216;85;131;34;0;51;100.08;12.75;2.33;34.00;null;51.00;null;null;null;null;null;null;null;null;null;null;null;null;6;0;0;0;0;0;0;6;0;0;0;0;0;210;М.1.30;;модульный
unpled195e3pg0000of7ejpfnmvcv01c;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Управление проектами;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;0;0;3;0;0;0;0;0;215;М.1.31;;модульный
unpled195e3pg0000of7ejpgf86epbe4;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Проектирование информационных систем;unpled195e3pg0000of7ejos0ap7l4lc;6;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;216;85;131;34;0;51;100.08;12.75;2.33;34.00;null;51.00;null;null;null;null;null;null;null;null;null;null;null;null;6;0;0;0;0;0;0;6;0;0;0;0;0;225;М.1.32;;модульный
unpled195e3pg0000of7ejpkk92ru7ng;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Физическая культура и спорт;unpled195e3pg0000of7ejos0ap7l4lc;2;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;400;374;26;0;374;0;386.90;7.65;0.25;null;51.00;null;null;null;null;null;null;null;null;null;null;null;null;null;2;0;0;0;0;0;2;0;0;0;0;0;0;100000;М.1.34;;модульный
unpled195e3pg0000of7enbhv3vidfp8;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Проектная деятельность;unpled195e3pg0000of7ejos0ap7l4lc;17;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;612;34;578;17;17;0;53.33;5.10;14.23;17.00;17.00;null;null;null;null;null;null;null;null;null;null;null;null;null;17;2;3;2;2;2;3;3;0;0;0;0;0;300;М.1.33;;модульный
